words,tags
©,O
“,O
Lesconcierges,O
Help,O
Desk,O
”,O
©,O
For,O
rental,O
agreement,O
request,O
take,O
only,O
the,O
details,O
as,O
mentioned,O
below,O
.,O
Note,O
:,O
Request,O
you,O
to,O
fill,O
the,O
details,O
in,O
capital,O
letters,O
and,O
these,O
all,O
details,O
are,O
mandatory,O
:,O
Request,O
number(SRF,O
),O
and,O
Desk,O
Name,O
Value,O
of,O
stamp,O
paper(Rs.20,O
or,O
50,O
or,O
100,O
or,O
200,O
),O
Commencing(starting,O
),O
date,O
of,O
agreement,O
:,O
01,O
-,O
04,O
-,O
2014,O
Monthly,O
Rent,O
amount,O
(,O
in,O
words,O
also,O
),O
:,O
EIGHT,O
THOUSAND,O
ONLY,O
Security,O
Deposit,O
or,O
advance,O
amount,O
(,O
in,O
words,O
also,O
),O
:,O
FIFTY,O
THOUSAND,O
ONLY,O
6,O
.,O
Owner,O
NAME,O
and,O
Address,O
:,O
...,O
SHIVANAND,U-PER
',',O
NO,O
'17,6th',O
'MAIN,2nd',O
CROSS,O
',',O
VINAYAKA,U-PER
LAYOUT,O
',',O
CHINNAPANNAHALLI,U-PER
',',O
MARATHAHALLI,U-LOC
',',O
BANGALORE-,O
560037,O
7,O
.,O
Tenant,O
NAME,O
and,O
Address,O
:,O
VIVEK,O
CHANDRA,O
MALLIK,O
',',O
1st,O
FLOOR,O
',',O
NO,O
'17,6th',O
'MAIN,2nd',O
CROSS,O
',',O
VINAYAKA,U-LOC
LAYOUT,O
',',O
CHINNAPANNAHLLI.MARATHAHALLI,O
',',O
BANGALORE-560037,O
Property,O
address,O
(,O
Schedule,O
),O
(,O
address,O
of,O
which,O
place,O
you,O
are,O
going,O
to,O
stay,O
/,O
use,O
for,O
rent,O
),O
:,O
1st,O
FLOOR,O
',',O
NO,O
'17,6th',O
'MAIN,2nd',O
CROSS,O
',',O
VINAYAKA,U-LOC
',',O
LAYOUT,O
',',O
CHINNAPANNAHLLI.MARATHAHALLI,O
',',O
BANGALORE-560037,O
Along,O
with,O
Fittings,O
and,O
Fixtures,O
:,O
Fans:-,O
2,O
No,O
’s,O
',',O
Tube,O
lights:-,O
2,O
...,O
No,O
’s,O
',',O
Bedrooms:-,O
2,O
...,O
No,O
’s,O
',',O
Geyser,O
:,O
...,O
0,O
..,O
No,O
’s,O
',',O
Attached,O
bathroom,O
&,O
toilet,O
:,O
Yes,O
Cost,O
:,O
Total,O
charges,O
Rs,O
.,O
200/-,O
(,O
for,O
stamp,O
paper,O
of,O
Rs.20/-,O
),O
',',O
250/-,O
(,O
For,O
stamp,O
paper,O
ofRs.50/-,O
),O
and,O
300/-(for,O
stamp,O
paper,O
of,O
Rs.100/-,O
),O
TAT,O
:,O
2working,O
days,O
Note,O
:,O
Stamp,O
paper,O
value,O
will,O
be,O
depends,O
on,O
security,O
or,O
advance,O
amount,O
.,O
For,O
eg,O
:,O
If,O
the,O
advance,O
below,O
20.000/-,O
then,O
20,O
rupees,O
stamp,O
paper,O
is,O
required,O
.,O
If,O
it,O
is,O
above,O
'20,000',O
to,O
below,O
50.000,O
then,O
50/-,O
rupees,O
stamp,O
paper,O
is,O
required,O
',',O
if,O
it,O
above,O
50.000,O
the,O
100/-,O
stamp,O
paper,O
is,O
required,O
.,O
Signature,O
of,O
Customer,O
/,O
Applicant,O
