word,score,entity,index,start,end
E,0.811808705329895,B-PER,42,118,119
An,0.9801577925682068,I-PER,44,120,122
BT,0.5412660837173462,B-ORG,55,153,155
E,0.7675665020942688,B-LOC,60,168,169
W,0.9017837643623352,I-LOC,62,170,171
S,0.9646866917610168,I-LOC,64,172,173
Bangalore,0.8880982398986816,I-LOC,66,175,184
Mohammed,0.9978013038635254,B-PER,88,245,253
Is,0.9936174154281616,I-PER,89,254,256
##ha,0.7040908336639404,I-PER,90,256,258
Mohammed,0.9882718920707703,B-PER,96,265,273
Mo,0.9797725677490234,I-PER,97,274,276
M,0.7331525087356567,B-ORG,112,327,328
E,0.9458959102630615,I-ORG,114,329,330
S,0.9215027093887329,I-ORG,116,331,332
Bangalore,0.9851809144020081,B-LOC,129,357,366
Less,0.5265754461288452,B-ORG,161,489,493
