entity,start_char,end_char,label
'INDIA NON JUDICIAL

',0,20,ORG
Karnataka,34,43,GPE
10:50 AM,88,96,TIME
NONACC,98,104,ORG
BK)/ kakscub08/,106,121,ORG
12,207,209,CARDINAL
Zero,229,233,CARDINAL
Two Hundred,327,338,CARDINAL
Two thousand,436,448,DATE
Narayan H V Resident,522,542,ORG
Tumkur District SS puram,562,586,PERSON
8th Cross,589,598,ORG
7th Main,600,608,ORG
Mr Madhu H N,613,625,PERSON
8th,638,641,ORDINAL
Sspuram Tumkur,657,671,PERSON
THIS TENANCY AGREEMENT,679,701,LAW
WITNESSETH,702,712,PERSON
this day,803,811,DATE
Rs,821,823,ORG
'50,000',825,831,CARDINAL
fifty thousand,840,854,CARDINAL
Tenant,965,971,ORG
monthly,984,991,DATE
'Rs 5,000/-(Rupees',1000,1017,PRODUCT
sixteen thousand,1018,1034,CARDINAL
5th,1054,1057,ORDINAL
English,1067,1074,LANGUAGE
05 months,1203,1212,DATE
Security,1235,1243,ORG
Bill,1445,1449,PERSON
Rs 5%,1785,1790,PERCENT
monthly,1794,1801,DATE
every year,1812,1822,DATE
over 12 months,1947,1961,DATE
Tumkur Taluk,2003,2015,PERSON
Gukur Hobli,2017,2028,PERSON
Naruganahalli,2030,2043,ORG
Honnenhalli Village Survey,2050,2076,ORG
10/03,2084,2089,CARDINAL
1.13 Acers,2108,2118,PRODUCT
40x30,2154,2159,CARDINAL
East,2185,2189,LOC
North Hanumantha,2221,2237,LOC
Chinnama Land,2262,2275,ORG
