entity,start_char,end_char,label
06th day of March 2013,129,151,DATE
Hyderabad,155,164,GPE
Smt C.BHAGYAMMA,182,197,PERSON
about 52 years,226,240,DATE
Manjeera Nagar,273,287,ORG
Sangareddy Mandal,289,306,PERSON
Medak District,308,322,GPE
AP,324,326,ORG
HEREINAFTER,329,340,ORG
THE FIRST PARTY,348,363,ORG
'ASSIGNEES

',480,491,PERSON
JAYAM HOUSING & CONSTRUCTIONS & M,521,554,ORG
S.SRI JAYAM HOUSING & CONSTRUCTIONS Pvt.Ltd.,555,599,ORG
O. B JAGANNADHA RAO,674,693,PERSON
about 33 years,700,714,DATE
Occ Business R/,716,731,ORG
BHEL-LIG-6,733,743,ORG
Ramachandrapuram,745,761,GPE
Medak District,763,777,GPE
HEREINAFTER,783,794,ORG
THE SECOND PARTY,802,818,ORG
'ASSIGNEES

Contd',935,951,PERSON
2,953,954,CARDINAL
2,961,962,CARDINAL
second,978,984,ORDINAL
INTERIO,1090,1097,ORG
S.”SRI,1104,1110,CARDINAL
JAYAM HOUSING & CONSTRUCTIONS,1111,1140,ORG
JAYAM HOUSING & CONSTRUCTIONS Pvt.Ltd.,1150,1188,ORG
2nd Floor,1231,1240,ORG
Sharada Hema durga Galaxy,1247,1272,PERSON
Chandanagar,1283,1294,GPE
050,1311,1314,DATE
Ranga Reddy District,1316,1336,PERSON
Andhra Pradesh,1338,1352,GPE
first,1367,1372,ORDINAL
Sharada Hema Durga Galaxy,1417,1442,PERSON
Situated Chandanagar,1444,1464,GPE
050,1481,1484,DATE
Ranga Reddy District,1486,1506,PERSON
Andhra Pradesh,1508,1522,GPE
Flat NO.204,1565,1576,PERSON
Sharada Hema,1593,1605,PERSON
Chandanagar,1632,1643,GPE
Ranga Reddy District,1664,1684,PERSON
Andhra Pradesh,1686,1700,GPE
second,1709,1715,ORDINAL
a period of 11 months commencing,1890,1922,DATE
06th day of April 2013,1928,1950,DATE
monthly,2100,2107,DATE
Flat Rent,2108,2117,ORG
RS,2124,2126,ORG
the 10th day of same month,2198,2224,DATE
first,2545,2550,ORDINAL
second,2611,2617,ORDINAL
Flat,2650,2654,GPE
ONE month,2676,2685,DATE
'Tidy, Healthy',3166,3179,ORG
