entity,start_char,end_char,label
'THIS THE DAY OF 1stDAY OF SEPTEMBER

2018',75,116,DATE
TWO THOUSAND EIGHTEEN,118,139,CARDINAL
Hindu,232,237,NORP
Akashwani,303,312,GPE
2nd Mile Sevoke road,314,334,LOC
Siliguri,336,344,GPE
West Bengal,346,357,GPE
FIRST,568,573,ORDINAL
the Indian Companies Act 1956,679,708,LAW
417,775,778,CARDINAL
'Ashiana

tower',780,794,FAC
Exhibition Road Patna- 1,796,820,FAC
Bihar,822,827,GPE
the LESSEE/ SECOND PARTY,849,873,ORG
Hindu,1172,1177,NORP
Indian,1191,1197,NORP
Turibari,1248,1256,NORP
Junglee Mohal,1258,1271,PERSON
about Sq. Ft,1455,1467,QUANTITY
First,1485,1490,ORDINAL
JOSHI KUNJ",1520,1531,FAC
the 2nd Mile Sevoke Road,1553,1577,FAC
Siliguri,1642,1650,GPE
LESSEE,1809,1815,ORG
LESSOR,1976,1982,ORG
LESSEE,2028,2034,ORG
LESSEE,2094,2100,ORG
LESSEE,2107,2113,ORG
LESSOR,2194,2200,ORG
36 (Thirty Six) months,2276,2298,DATE
LESSOR,2375,2381,ORG
3,2408,2409,CARDINAL
LESSEE,2444,2450,ORG
36 (Thirty Six) months,2587,2609,DATE
the 1st September 2018,2623,2645,DATE
LESSOR,2666,2672,ORG
LESSEE,2681,2687,ORG
LESSEE,2928,2934,ORG
36 (Thirty Six) months,2969,2991,DATE
LESSOR,3038,3044,ORG
LESSOR,3062,3068,ORG
monthly,3071,3078,DATE
LESSEE,3211,3217,ORG
monthly,3242,3249,DATE
the - succeeding month,3265,3287,DATE
the 10th of English Calendar month,3313,3347,DATE
LESSEE,3429,3435,ORG
Lessee,3920,3926,ORG
31st August 202land,3995,4014,DATE
LESSEE,4037,4043,ORG
one month from the date,4062,4085,DATE
Lessee,4221,4227,ORG
LESSEE,4488,4494,ORG
WBSEDCL,4567,4574,ORG
WBSEDCL,4612,4619,ORG
LESSEE,4646,4652,ORG
LESSOR,4918,4924,ORG
LESSEE,5002,5008,ORG
LESSEE,5042,5048,ORG
LESSOR,5157,5163,ORG
LESSEE,5175,5181,ORG
LESSEE,5387,5393,ORG
LESSEE,5526,5532,ORG
LESSEE,5661,5667,ORG
LESSEE,5832,5838,ORG
LESSEE,5850,5856,ORG
LESSEE,6013,6019,ORG
LESSEE,6262,6268,ORG
LESSOR,6286,6292,ORG
office hours,6314,6326,TIME
5,6419,6420,CARDINAL
LESSEE,6431,6437,ORG
LESSOR,6705,6711,ORG
LESSOR,6723,6729,ORG
LESSEE,6738,6744,ORG
three clear months,6916,6934,DATE
one month,7025,7034,DATE
the Arbitration and Conciliation Act,7496,7532,LAW
Siliguri,7598,7606,GPE
more or less Sq. ft,7692,7711,QUANTITY
First,7716,7721,ORDINAL
JOSHIKUNJ" Building,7752,7771,FAC
Mouza Dabgram-08 reorded,7844,7868,FAC
2nd Mile Sevoke Road,7916,7936,LOC
Jalpaiguri,7992,8002,GPE
Joshi Kunj,8028,8038,FAC
the day month and year,8276,8298,DATE
first,8299,8304,ORDINAL
