entity,start_char,end_char,label
Perjanjian Kontrak Penyewa,18,44,PERSON
Landlord,115,123,ORG
CLEMENT NG,144,154,ORG
Landlord,287,295,ORG
Tenant,313,319,ORG
Tenant,328,334,ORG
Landlord,354,362,FAC
TAMAN,431,436,GPE
PERDANA,443,450,GPE
MELAKA,458,464,GPE
1st JANUARY 2014,512,528,DATE
RENEWAL EVERY YEAR,536,554,DATE
1 Year,584,590,DATE
TWO MONTHS months,641,658,DATE
RM750,662,667,DATE
25 DECEMBER 2013,681,697,DATE
1st JANUARY 2014,731,747,DATE
TWO,1022,1025,CARDINAL
1 Month,1043,1050,DATE
the month of JANUARY,1089,1109,DATE
Januari 2014,1157,1169,DATE
the last month of stay,1213,1235,DATE
1,1237,1238,CARDINAL
every first week,1339,1355,DATE
month,1366,1371,DATE
'Water, Electricity',1566,1584,ORG
Indah Water,1587,1598,ORG
Telephone Bills,1603,1618,ORG
Landlord,2188,2196,ORG
Lessor,2341,2347,ORG
Tenant,2480,2486,ORG
Landlord,2884,2892,ORG
Tenant,2918,2924,ORG
Tenant,4386,4392,ORG
'the first month''s',7957,7974,DATE
the Tenancy Agreement,11402,11423,LAW
